soundingID,date,hour,Longitude,Latitude,inSmoke,GISExists,NOXEmission,NOXPercentOfMax,maxNOX,DOF
Run08164_Seq0001_Scan096,20080729,19.43833351,-93.139549,43.513737,TRUE,TRUE,1.32E+12,4.985412575,2.64E+13,0.281110734
Run08164_Seq0001_Scan097,20080729,19.43833351,-93.278427,43.912846,TRUE,TRUE,1.32E+12,4.985412575,2.64E+13,0.275355011
Run08164_Seq0001_Scan098,20080729,19.43833351,-93.418701,44.311718,TRUE,TRUE,1.32E+12,4.985412575,2.64E+13,0.287797123
Run08164_Seq0001_Scan099,20080729,19.44722176,-93.560585,44.710915,TRUE,TRUE,2.38E+12,9.022545405,2.64E+13,0.970074892
Run08164_Seq0001_Scan100,20080729,19.44722176,-93.704369,45.110203,TRUE,TRUE,2.38E+12,9.022545405,2.64E+13,0.711991429
Run08164_Seq0001_Scan101,20080729,19.44722176,-93.849335,45.50877,TRUE,TRUE,1.29E+12,4.89040132,2.64E+13,0.877524197
Run08164_Seq0001_Scan102,20080729,19.44722176,-93.996223,45.90757,TRUE,TRUE,1.29E+12,4.89040132,2.64E+13,0.053205088
Run08164_Seq0001_Scan103,20080729,19.44722176,-94.144531,46.30542,TRUE,TRUE,1.29E+12,4.89040132,2.64E+13,0.872263134
Run08164_Seq0001_Scan104,20080729,19.45611191,-94.29496,46.703884,TRUE,TRUE,3.22E+11,1.222331809,2.64E+13,0.968448699
Run08164_Seq0001_Scan105,20080729,19.45611191,-94.446793,47.101864,TRUE,TRUE,3.22E+11,1.222331809,2.64E+13,0.23685199
Run08164_Seq0001_Scan106,20080729,19.45611191,-94.600815,47.499805,TRUE,TRUE,3.19E+11,1.209552821,2.64E+13,0.309363008
Run08164_Seq0001_Scan107,20080729,19.45611191,-94.756584,47.89756,TRUE,TRUE,1.48E+11,0.561378187,2.64E+13,0.890923798
Run08164_Seq0001_Scan108,20080729,19.46500015,-94.914436,48.295265,TRUE,TRUE,1.48E+11,0.561378187,2.64E+13,0.893867373
Run08164_Seq0001_Scan109,20080729,19.46500015,-95.074394,48.693111,FALSE,TRUE,83025970576,0.314690547,2.64E+13,0.873964131
Run08164_Seq0001_Scan111,20080729,19.46500015,-95.40049,49.487476,FALSE,TRUE,83025970576,0.314690547,2.64E+13,0.875397623
Run08164_Seq0001_Scan112,20080729,19.46500015,-95.566711,49.884045,FALSE,TRUE,1.85E+11,0.699593394,2.64E+13,0.413577855
Run08164_Seq0001_Scan113,20080729,19.4738884,-95.735115,50.280449,FALSE,TRUE,1.85E+11,0.699593394,2.64E+13,0.323578894
Run08164_Seq0001_Scan114,20080729,19.46500015,-95.906334,50.677467,FALSE,TRUE,NA,NA,2.64E+13,0.475972027
Run08164_Seq0001_Scan115,20080729,19.46500015,-96.079643,51.073685,FALSE,TRUE,NA,NA,2.64E+13,0.893700421
Run08164_Seq0001_Scan117,20080729,19.4738884,-96.433723,51.865036,FALSE,TRUE,NA,NA,2.64E+13,0.223637536
Run08164_Seq0001_Scan118,20080729,19.4738884,-96.615036,52.260952,FALSE,TRUE,NA,NA,2.64E+13,0.091327809
Run08164_Seq0001_Scan119,20080729,19.4738884,-96.79879,52.656338,FALSE,TRUE,NA,NA,2.64E+13,0.340827137
