"date","hour","Longitude","Latitude","inSmoke"
20060708,21.1671905517578,-119.091194152832,41.6463851928711,FALSE
20060709,10.7670860290527,-126.922904968262,46.7175674438477,NA
20060709,10.7897682189941,-128.652648925781,41.840087890625,NA
20060709,10.7974185943604,-129.182647705078,40.2097434997559,NA
20060709,10.8429183959961,-132.014083862305,30.3929424285889,NA
20060709,12.4985647201538,-157.145462036133,28.8166580200195,NA
20060709,22.0078754425049,-143.944900512695,66.7627487182617,NA
20060709,23.5954780578613,-159.656021118164,54.1535720825195,NA
20060710,11.389835357666,-124.691017150879,67.5033950805664,NA
20060710,11.4733190536499,-136.426177978516,49.9920120239258,NA
20060710,11.5643186569214,-142.822998046875,30.4290904998779,NA
20060711,10.4711084365845,-112.515762329102,65.8612060546875,FALSE
20060711,10.5847873687744,-125.568176269531,41.8417053222656,FALSE
20060711,20.0941257476807,-107.113250732422,54.1231498718262,FALSE
20060711,21.719518661499,-129.635955810547,49.2760009765625,FALSE
20060711,21.7498531341553,-132.621170043945,55.6473274230957,FALSE
20060711,21.7877006530762,-137.93586730957,63.6474952697754,FALSE
20060711,23.3526229858398,-153.073989868164,45.9978103637695,FALSE
20060711,23.3601360321045,-153.720413208008,47.6907119750977,FALSE
20060712,11.3440589904785,-138.823654174805,33.8043098449707,FALSE
20060712,20.6829395294189,-108.410934448242,25.6169185638428,NA
20060712,20.7481479644775,-112.294731140137,39.6905250549316,TRUE
20060713,10.273681640625,-110.871528625488,64.3108062744141,NA
20060713,11.9369773864746,-138.07844543457,61.1625175476074,NA
20060713,12.0658264160156,-149.659240722656,33.7434844970703,FALSE
20060713,23.1248645782471,-148.292053222656,41.1126365661621,FALSE
20060714,11.1011648178101,-133.284957885742,41.8977470397949,NA
20060714,20.5710868835449,-111.250213623047,45.6900100708008,NA
20060714,20.598934173584,-113.674308776855,51.649341583252,NA
20060714,20.6063804626465,-114.410194396973,53.2302169799805,NA
20060714,20.6101016998291,-114.795989990234,54.0199203491211,NA
20060715,10.2506093978882,-124.016105651855,25.4752159118652,NA
